OrderedDict({'activation': 'tanh', 'alpha': 0.0015246748254295628, 'batch_size': 512, 'layer1': 1316, 'layer2': 769, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0005033414197773552, 'num_hl': 2, 'solver': 'adam'}) - -14.143914464153914
OrderedDict({'activation': 'logistic', 'alpha': 0.00019714862980469626, 'batch_size': 128, 'layer1': 1581, 'layer2': 625, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007448881874437197, 'num_hl': 1, 'solver': 'adam'}) - -13.664994892665277
OrderedDict({'activation': 'logistic', 'alpha': 0.0003045861715568619, 'batch_size': 128, 'layer1': 1592, 'layer2': 659, 'learning_rate': 'constant', 'learning_rate_init': 0.0006424589161252442, 'num_hl': 1, 'solver': 'adam'}) - -13.714015151214776
OrderedDict({'activation': 'logistic', 'alpha': 0.0002699932510424442, 'batch_size': 128, 'layer1': 1552, 'layer2': 656, 'learning_rate': 'constant', 'learning_rate_init': 0.0008141576178828312, 'num_hl': 1, 'solver': 'sgd'}) - -13.468537259632054
OrderedDict({'activation': 'relu', 'alpha': 0.00012011434998891557, 'batch_size': 512, 'layer1': 1591, 'layer2': 648, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006967874762822062, 'num_hl': 1, 'solver': 'lbfgs'}) - -18.03861378742986
OrderedDict({'activation': 'logistic', 'alpha': 5.0511060808232925e-05, 'batch_size': 32, 'layer1': 1627, 'layer2': 634, 'learning_rate': 'constant', 'learning_rate_init': 0.0004837780174800845, 'num_hl': 2, 'solver': 'sgd'}) - -15.12176669649801
OrderedDict({'activation': 'logistic', 'alpha': 0.00023507616869896338, 'batch_size': 128, 'layer1': 1593, 'layer2': 652, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006511701065958206, 'num_hl': 1, 'solver': 'adam'}) - -13.719654775160468
OrderedDict({'activation': 'relu', 'alpha': 0.00019775496721622388, 'batch_size': 256, 'layer1': 1621, 'layer2': 641, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0017015162521669157, 'num_hl': 2, 'solver': 'adam'}) - -15.453250635458762
OrderedDict({'activation': 'logistic', 'alpha': 0.00016189335605309454, 'batch_size': 128, 'layer1': 1539, 'layer2': 636, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007024892121393964, 'num_hl': 1, 'solver': 'sgd'}) - -13.345931153107227
OrderedDict({'activation': 'logistic', 'alpha': 6.8721969089204e-05, 'batch_size': 32, 'layer1': 1381, 'layer2': 579, 'learning_rate': 'constant', 'learning_rate_init': 0.0006976461013266013, 'num_hl': 2, 'solver': 'sgd'}) - -15.622128800683475
OrderedDict({'activation': 'logistic', 'alpha': 0.00017186500910045267, 'batch_size': 128, 'layer1': 1553, 'layer2': 666, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006833752466296705, 'num_hl': 1, 'solver': 'sgd'}) - -13.382342613392662
OrderedDict({'activation': 'logistic', 'alpha': 2.0397386720911145e-05, 'batch_size': 32, 'layer1': 1440, 'layer2': 589, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0004051048223244226, 'num_hl': 2, 'solver': 'sgd'}) - -14.857556985777311
OrderedDict({'activation': 'logistic', 'alpha': 0.00013882538110584415, 'batch_size': 128, 'layer1': 1580, 'layer2': 623, 'learning_rate': 'adaptive', 'learning_rate_init': 0.00023534773606822678, 'num_hl': 2, 'solver': 'sgd'}) - -13.855119694045907
OrderedDict({'activation': 'logistic', 'alpha': 7.644435372446218e-05, 'batch_size': 128, 'layer1': 1581, 'layer2': 662, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0005741978071264057, 'num_hl': 2, 'solver': 'sgd'}) - -13.258067110250863
OrderedDict({'activation': 'logistic', 'alpha': 9.272909406749015e-05, 'batch_size': 32, 'layer1': 1399, 'layer2': 572, 'learning_rate': 'constant', 'learning_rate_init': 0.0005045604479221331, 'num_hl': 2, 'solver': 'sgd'}) - -15.388226726439308
OrderedDict({'activation': 'logistic', 'alpha': 0.00017863578165159662, 'batch_size': 128, 'layer1': 1533, 'layer2': 626, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0008134141532437731, 'num_hl': 2, 'solver': 'adam'}) - -14.472028819245683
OrderedDict({'activation': 'logistic', 'alpha': 0.0001830809059511635, 'batch_size': 128, 'layer1': 1548, 'layer2': 640, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007678400539448728, 'num_hl': 1, 'solver': 'sgd'}) - -13.407573294520947
OrderedDict({'activation': 'logistic', 'alpha': 0.00013162771662733779, 'batch_size': 128, 'layer1': 1584, 'layer2': 644, 'learning_rate': 'adaptive', 'learning_rate_init': 0.000663303587547726, 'num_hl': 2, 'solver': 'sgd'}) - -13.232383034487077
OrderedDict({'activation': 'logistic', 'alpha': 0.00017439305578006485, 'batch_size': 32, 'layer1': 1526, 'layer2': 608, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006600651918156401, 'num_hl': 1, 'solver': 'sgd'}) - -15.381599464038661
OrderedDict({'activation': 'logistic', 'alpha': 0.0001609132380756101, 'batch_size': 128, 'layer1': 1584, 'layer2': 635, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006239051362471593, 'num_hl': 1, 'solver': 'sgd'}) - -13.331402305347584
OrderedDict({'activation': 'logistic', 'alpha': 0.0001596908971014067, 'batch_size': 128, 'layer1': 1532, 'layer2': 631, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007180863161911561, 'num_hl': 1, 'solver': 'sgd'}) - -13.387933092503369
OrderedDict({'activation': 'logistic', 'alpha': 0.00011099686183488475, 'batch_size': 256, 'layer1': 1573, 'layer2': 655, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007384679018788187, 'num_hl': 1, 'solver': 'adam'}) - -13.841013010892988
OrderedDict({'activation': 'logistic', 'alpha': 0.00022411947581377464, 'batch_size': 128, 'layer1': 1534, 'layer2': 648, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0008135588738573379, 'num_hl': 2, 'solver': 'sgd'}) - -13.540060707726543
OrderedDict({'activation': 'logistic', 'alpha': 0.00016832464871779373, 'batch_size': 128, 'layer1': 1533, 'layer2': 637, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006754320654819114, 'num_hl': 1, 'solver': 'sgd'}) - -13.314423618733807
OrderedDict({'activation': 'logistic', 'alpha': 9.371683680437782e-05, 'batch_size': 128, 'layer1': 1512, 'layer2': 647, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007827201950981889, 'num_hl': 2, 'solver': 'adam'}) - -14.434060913411997
OrderedDict({'activation': 'logistic', 'alpha': 0.00013783196581471923, 'batch_size': 128, 'layer1': 1561, 'layer2': 626, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007175320934304294, 'num_hl': 2, 'solver': 'sgd'}) - -13.477283979637914
OrderedDict({'activation': 'logistic', 'alpha': 0.0001407808051890961, 'batch_size': 128, 'layer1': 1582, 'layer2': 658, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007014035297609605, 'num_hl': 2, 'solver': 'sgd'}) - -13.296122235388708
OrderedDict({'activation': 'logistic', 'alpha': 0.0001620250058007328, 'batch_size': 128, 'layer1': 1545, 'layer2': 636, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007158959142354031, 'num_hl': 1, 'solver': 'sgd'}) - -13.33551835721465
OrderedDict({'activation': 'logistic', 'alpha': 9.889802775925137e-05, 'batch_size': 128, 'layer1': 1599, 'layer2': 641, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006743092455449101, 'num_hl': 2, 'solver': 'sgd'}) - -13.310017064449458
OrderedDict({'activation': 'logistic', 'alpha': 0.0001373891820180552, 'batch_size': 128, 'layer1': 1568, 'layer2': 636, 'learning_rate': 'adaptive', 'learning_rate_init': 0.000677611945414264, 'num_hl': 2, 'solver': 'sgd'}) - -13.387964013940158
OrderedDict({'activation': 'logistic', 'alpha': 6.30519737704614e-05, 'batch_size': 128, 'layer1': 1539, 'layer2': 661, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006249428175121381, 'num_hl': 2, 'solver': 'sgd'}) - -13.288047063768634
OrderedDict({'activation': 'logistic', 'alpha': 0.00018171554836823975, 'batch_size': 128, 'layer1': 1558, 'layer2': 662, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006676121040217195, 'num_hl': 1, 'solver': 'sgd'}) - -13.39752592603207
OrderedDict({'activation': 'logistic', 'alpha': 8.50437394318982e-05, 'batch_size': 128, 'layer1': 1553, 'layer2': 665, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0005150210739421942, 'num_hl': 2, 'solver': 'sgd'}) - -13.431617716617534
OrderedDict({'activation': 'logistic', 'alpha': 0.00027575150517206474, 'batch_size': 32, 'layer1': 1265, 'layer2': 673, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0003258269593620556, 'num_hl': 1, 'solver': 'sgd'}) - -14.150324152721122
OrderedDict({'activation': 'logistic', 'alpha': 0.0002055172482700283, 'batch_size': 128, 'layer1': 1524, 'layer2': 638, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006950600958978837, 'num_hl': 1, 'solver': 'adam'}) - -13.683059200179418
OrderedDict({'activation': 'logistic', 'alpha': 0.00018348358123938265, 'batch_size': 32, 'layer1': 1432, 'layer2': 565, 'learning_rate': 'constant', 'learning_rate_init': 0.0004319537961658048, 'num_hl': 1, 'solver': 'sgd'}) - -14.639654592443435
OrderedDict({'activation': 'logistic', 'alpha': 0.00014151179095192216, 'batch_size': 32, 'layer1': 1505, 'layer2': 603, 'learning_rate': 'constant', 'learning_rate_init': 0.0006297021982330144, 'num_hl': 1, 'solver': 'sgd'}) - -15.388254695313714
OrderedDict({'activation': 'logistic', 'alpha': 0.00021026482478095744, 'batch_size': 128, 'layer1': 1583, 'layer2': 649, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007027018240505197, 'num_hl': 1, 'solver': 'sgd'}) - -13.383090479188317
OrderedDict({'activation': 'logistic', 'alpha': 0.00016124821797147175, 'batch_size': 32, 'layer1': 1494, 'layer2': 616, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007451791821126103, 'num_hl': 1, 'solver': 'sgd'}) - -15.514383067266838
OrderedDict({'activation': 'logistic', 'alpha': 0.00021213190498111455, 'batch_size': 128, 'layer1': 1587, 'layer2': 638, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006372005741277757, 'num_hl': 1, 'solver': 'sgd'}) - -13.32971389062293
OrderedDict({'activation': 'logistic', 'alpha': 0.0002254401463553389, 'batch_size': 128, 'layer1': 1599, 'layer2': 651, 'learning_rate': 'adaptive', 'learning_rate_init': 0.000744889435017059, 'num_hl': 1, 'solver': 'sgd'}) - -13.303877923200673
OrderedDict({'activation': 'logistic', 'alpha': 0.00018722756824545995, 'batch_size': 128, 'layer1': 1558, 'layer2': 648, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007761661292096314, 'num_hl': 1, 'solver': 'sgd'}) - -13.384254972156858
OrderedDict({'activation': 'logistic', 'alpha': 0.00023359967209038372, 'batch_size': 128, 'layer1': 1578, 'layer2': 644, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007106912360597893, 'num_hl': 1, 'solver': 'sgd'}) - -13.345192912259588
OrderedDict({'activation': 'logistic', 'alpha': 0.0001862870740464533, 'batch_size': 128, 'layer1': 1590, 'layer2': 651, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006274257005253153, 'num_hl': 1, 'solver': 'adam'}) - -13.725212728649357
OrderedDict({'activation': 'logistic', 'alpha': 0.00018365623252894118, 'batch_size': 128, 'layer1': 1544, 'layer2': 655, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0008057216228208054, 'num_hl': 1, 'solver': 'sgd'}) - -13.42542435152905
OrderedDict({'activation': 'logistic', 'alpha': 0.00019914922355838098, 'batch_size': 128, 'layer1': 1555, 'layer2': 650, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007579050198989806, 'num_hl': 1, 'solver': 'sgd'}) - -13.341411482129384
OrderedDict({'activation': 'logistic', 'alpha': 0.00019501274350968486, 'batch_size': 128, 'layer1': 1608, 'layer2': 672, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006933454008043909, 'num_hl': 1, 'solver': 'adam'}) - -13.699021057929269
OrderedDict({'activation': 'logistic', 'alpha': 0.0002005838510518829, 'batch_size': 128, 'layer1': 1577, 'layer2': 666, 'learning_rate': 'constant', 'learning_rate_init': 0.0007656331107265866, 'num_hl': 1, 'solver': 'sgd'}) - -13.41264600442219
OrderedDict({'activation': 'logistic', 'alpha': 0.00016496062410020882, 'batch_size': 32, 'layer1': 1485, 'layer2': 606, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006225356617165617, 'num_hl': 2, 'solver': 'sgd'}) - -15.65468132085988
OrderedDict({'activation': 'logistic', 'alpha': 0.00017827236170168568, 'batch_size': 128, 'layer1': 1542, 'layer2': 620, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0008151936702017477, 'num_hl': 1, 'solver': 'sgd'}) - -13.430188444415606
OrderedDict({'activation': 'logistic', 'alpha': 0.00016438570804493946, 'batch_size': 128, 'layer1': 1501, 'layer2': 629, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0008208353844928994, 'num_hl': 1, 'solver': 'sgd'}) - -13.431472561506027
OrderedDict({'activation': 'logistic', 'alpha': 0.00024246309635905637, 'batch_size': 128, 'layer1': 1581, 'layer2': 642, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006979568341833186, 'num_hl': 1, 'solver': 'sgd'}) - -13.37437196495265
OrderedDict({'activation': 'logistic', 'alpha': 0.0002545704757791715, 'batch_size': 128, 'layer1': 1562, 'layer2': 641, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006924451590187491, 'num_hl': 2, 'solver': 'sgd'}) - -13.333329812220109
OrderedDict({'activation': 'relu', 'alpha': 5.5284195537395535e-05, 'batch_size': 256, 'layer1': 1528, 'layer2': 700, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0005574208585396804, 'num_hl': 2, 'solver': 'adam'}) - -15.884800027752567
OrderedDict({'activation': 'relu', 'alpha': 0.0002741837490751413, 'batch_size': 128, 'layer1': 1670, 'layer2': 640, 'learning_rate': 'constant', 'learning_rate_init': 0.0007498826005108806, 'num_hl': 2, 'solver': 'adam'}) - -15.5823621868882
OrderedDict({'activation': 'logistic', 'alpha': 7.267756816593591e-05, 'batch_size': 128, 'layer1': 1545, 'layer2': 659, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006108747077311378, 'num_hl': 2, 'solver': 'sgd'}) - -13.33872696179623
OrderedDict({'activation': 'logistic', 'alpha': 0.00025176176659828553, 'batch_size': 32, 'layer1': 1535, 'layer2': 621, 'learning_rate': 'constant', 'learning_rate_init': 0.0007024651629176797, 'num_hl': 1, 'solver': 'sgd'}) - -15.222238110578889
OrderedDict({'activation': 'logistic', 'alpha': 0.0002179982609588193, 'batch_size': 512, 'layer1': 1540, 'layer2': 635, 'learning_rate': 'adaptive', 'learning_rate_init': 0.000702138088857492, 'num_hl': 1, 'solver': 'adam'}) - -14.087916320917396
OrderedDict({'activation': 'logistic', 'alpha': 0.0002032105082767133, 'batch_size': 32, 'layer1': 1457, 'layer2': 591, 'learning_rate': 'constant', 'learning_rate_init': 0.0006219091994951988, 'num_hl': 2, 'solver': 'sgd'}) - -15.772570536359416
OrderedDict({'activation': 'logistic', 'alpha': 0.00011561981355941922, 'batch_size': 128, 'layer1': 1592, 'layer2': 641, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007137098366580406, 'num_hl': 2, 'solver': 'sgd'}) - -13.389125426635976
OrderedDict({'activation': 'logistic', 'alpha': 0.00020389624523589904, 'batch_size': 128, 'layer1': 1572, 'layer2': 648, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006924027461996517, 'num_hl': 1, 'solver': 'adam'}) - -13.693054270973624
OrderedDict({'activation': 'logistic', 'alpha': 0.00010369227103413948, 'batch_size': 32, 'layer1': 1325, 'layer2': 522, 'learning_rate': 'adaptive', 'learning_rate_init': 0.00045687998550982375, 'num_hl': 2, 'solver': 'sgd'}) - -15.432901449696704
OrderedDict({'activation': 'logistic', 'alpha': 6.468881854513495e-05, 'batch_size': 32, 'layer1': 1420, 'layer2': 581, 'learning_rate': 'constant', 'learning_rate_init': 0.0004602129376317136, 'num_hl': 2, 'solver': 'sgd'}) - -15.187947509017945
OrderedDict({'activation': 'logistic', 'alpha': 3.13893833762208e-05, 'batch_size': 32, 'layer1': 1408, 'layer2': 562, 'learning_rate': 'constant', 'learning_rate_init': 0.0010515491530115669, 'num_hl': 2, 'solver': 'sgd'}) - -15.989480398131283
OrderedDict({'activation': 'logistic', 'alpha': 6.47509359482457e-05, 'batch_size': 128, 'layer1': 1512, 'layer2': 631, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0005989691445558625, 'num_hl': 2, 'solver': 'sgd'}) - -13.431802982479795
OrderedDict({'activation': 'logistic', 'alpha': 0.00010129834053835955, 'batch_size': 32, 'layer1': 1387, 'layer2': 613, 'learning_rate': 'adaptive', 'learning_rate_init': 0.00047647367948136987, 'num_hl': 2, 'solver': 'sgd'}) - -15.30506746999096
OrderedDict({'activation': 'tanh', 'alpha': 0.00024144999866519877, 'batch_size': 512, 'layer1': 1523, 'layer2': 741, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007513148431523013, 'num_hl': 2, 'solver': 'adam'}) - -14.469796930325524
OrderedDict({'activation': 'relu', 'alpha': 5.929333216317025e-05, 'batch_size': 256, 'layer1': 1626, 'layer2': 610, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0011715611078785373, 'num_hl': 1, 'solver': 'adam'}) - -14.809739872768557
OrderedDict({'activation': 'logistic', 'alpha': 4.485444549255943e-05, 'batch_size': 128, 'layer1': 1520, 'layer2': 643, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0005528809159585683, 'num_hl': 2, 'solver': 'sgd'}) - -13.291426540659256
OrderedDict({'activation': 'logistic', 'alpha': 0.00026234521268957514, 'batch_size': 32, 'layer1': 1591, 'layer2': 594, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0010431620944227745, 'num_hl': 2, 'solver': 'sgd'}) - -15.673812406611358
OrderedDict({'activation': 'logistic', 'alpha': 0.00012625829998380388, 'batch_size': 32, 'layer1': 1431, 'layer2': 654, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007306999940789054, 'num_hl': 1, 'solver': 'adam'}) - -13.504717280780671
OrderedDict({'activation': 'tanh', 'alpha': 0.0001118824274237952, 'batch_size': 256, 'layer1': 1539, 'layer2': 648, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007245376936688181, 'num_hl': 1, 'solver': 'adam'}) - -13.654965684709856
OrderedDict({'activation': 'tanh', 'alpha': 9.52105713439589e-05, 'batch_size': 256, 'layer1': 1520, 'layer2': 672, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007616488396420335, 'num_hl': 1, 'solver': 'adam'}) - -13.661328686880424
OrderedDict({'activation': 'tanh', 'alpha': 9.756524445111414e-05, 'batch_size': 256, 'layer1': 1555, 'layer2': 653, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0005378463083287834, 'num_hl': 1, 'solver': 'adam'}) - -13.779938004494714
OrderedDict({'activation': 'logistic', 'alpha': 0.00014046953517829271, 'batch_size': 128, 'layer1': 1562, 'layer2': 651, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007689242443909395, 'num_hl': 2, 'solver': 'sgd'}) - -13.509111868865773
OrderedDict({'activation': 'tanh', 'alpha': 0.00013364024246431382, 'batch_size': 512, 'layer1': 1465, 'layer2': 691, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0008020804493667708, 'num_hl': 2, 'solver': 'adam'}) - -14.50480000683525
OrderedDict({'activation': 'logistic', 'alpha': 7.033768915037078e-05, 'batch_size': 32, 'layer1': 1285, 'layer2': 665, 'learning_rate': 'constant', 'learning_rate_init': 0.0004687063451542087, 'num_hl': 2, 'solver': 'sgd'}) - -15.40370106092871
OrderedDict({'activation': 'logistic', 'alpha': 7.631479943229773e-05, 'batch_size': 32, 'layer1': 1422, 'layer2': 605, 'learning_rate': 'constant', 'learning_rate_init': 0.0005217719522514671, 'num_hl': 2, 'solver': 'sgd'}) - -15.3067142885322
OrderedDict({'activation': 'logistic', 'alpha': 0.00016428005986002952, 'batch_size': 32, 'layer1': 1526, 'layer2': 666, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007740775266940248, 'num_hl': 1, 'solver': 'adam'}) - -13.530740025116444
OrderedDict({'activation': 'tanh', 'alpha': 0.00011068851205511093, 'batch_size': 32, 'layer1': 1549, 'layer2': 643, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0008751042853961348, 'num_hl': 1, 'solver': 'sgd'}) - -15.498611622725477
OrderedDict({'activation': 'logistic', 'alpha': 0.00016637525528222276, 'batch_size': 128, 'layer1': 1565, 'layer2': 615, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006863697559975025, 'num_hl': 2, 'solver': 'adam'}) - -14.142009316204783
OrderedDict({'activation': 'tanh', 'alpha': 8.219417617419167e-05, 'batch_size': 256, 'layer1': 1564, 'layer2': 642, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007151787464513638, 'num_hl': 1, 'solver': 'adam'}) - -13.688383054146552
OrderedDict({'activation': 'logistic', 'alpha': 0.00021905342607295307, 'batch_size': 512, 'layer1': 1591, 'layer2': 646, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007400203731206343, 'num_hl': 1, 'solver': 'adam'}) - -14.053040390059508
OrderedDict({'activation': 'logistic', 'alpha': 7.237245338296509e-05, 'batch_size': 32, 'layer1': 1370, 'layer2': 572, 'learning_rate': 'constant', 'learning_rate_init': 0.0005197281065051178, 'num_hl': 2, 'solver': 'sgd'}) - -15.247571917445123
OrderedDict({'activation': 'tanh', 'alpha': 0.00015940928774071012, 'batch_size': 256, 'layer1': 1572, 'layer2': 628, 'learning_rate': 'constant', 'learning_rate_init': 0.0006599671048660553, 'num_hl': 2, 'solver': 'adam'}) - -14.551267270526719
OrderedDict({'activation': 'logistic', 'alpha': 0.00012145788824242829, 'batch_size': 256, 'layer1': 1601, 'layer2': 607, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007604807793814458, 'num_hl': 1, 'solver': 'sgd'}) - -13.783784009605125
OrderedDict({'activation': 'relu', 'alpha': 2.5544878961210325e-05, 'batch_size': 128, 'layer1': 1653, 'layer2': 696, 'learning_rate': 'constant', 'learning_rate_init': 0.00046366036095965574, 'num_hl': 2, 'solver': 'lbfgs'}) - -16.498985376809422
OrderedDict({'activation': 'logistic', 'alpha': 0.00010615284704781178, 'batch_size': 512, 'layer1': 1567, 'layer2': 682, 'learning_rate': 'constant', 'learning_rate_init': 0.0007498282057814695, 'num_hl': 1, 'solver': 'sgd'}) - -14.368191912330918
OrderedDict({'activation': 'tanh', 'alpha': 0.0001495187519002779, 'batch_size': 512, 'layer1': 1484, 'layer2': 680, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0008339788647026917, 'num_hl': 2, 'solver': 'adam'}) - -14.475992999309117
OrderedDict({'activation': 'logistic', 'alpha': 7.680871582441235e-05, 'batch_size': 128, 'layer1': 1537, 'layer2': 651, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006925458508027756, 'num_hl': 2, 'solver': 'sgd'}) - -13.38195676552348
OrderedDict({'activation': 'relu', 'alpha': 7.780796151204541e-05, 'batch_size': 128, 'layer1': 1525, 'layer2': 626, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006998558471888327, 'num_hl': 2, 'solver': 'adam'}) - -15.835605448316574
OrderedDict({'activation': 'logistic', 'alpha': 0.00015640237121823523, 'batch_size': 32, 'layer1': 1452, 'layer2': 622, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0005153644770045132, 'num_hl': 2, 'solver': 'sgd'}) - -15.773250678058062
OrderedDict({'activation': 'logistic', 'alpha': 0.00016629902837241237, 'batch_size': 128, 'layer1': 1600, 'layer2': 645, 'learning_rate': 'adaptive', 'learning_rate_init': 0.000675072200247003, 'num_hl': 2, 'solver': 'sgd'}) - -13.407115325587673
OrderedDict({'activation': 'logistic', 'alpha': 9.335897638559733e-05, 'batch_size': 128, 'layer1': 1499, 'layer2': 645, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0005884204061365968, 'num_hl': 2, 'solver': 'sgd'}) - -13.330185767031832
OrderedDict({'activation': 'logistic', 'alpha': 6.531907944119158e-05, 'batch_size': 32, 'layer1': 1383, 'layer2': 617, 'learning_rate': 'constant', 'learning_rate_init': 0.0003135541740720957, 'num_hl': 2, 'solver': 'sgd'}) - -14.39589859205733
OrderedDict({'activation': 'logistic', 'alpha': 0.00019842290735195073, 'batch_size': 32, 'layer1': 1561, 'layer2': 646, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006627134573184512, 'num_hl': 2, 'solver': 'adam'}) - -15.98278366194955
OrderedDict({'activation': 'logistic', 'alpha': 0.00023003314773686952, 'batch_size': 32, 'layer1': 1401, 'layer2': 617, 'learning_rate': 'constant', 'learning_rate_init': 0.0005606363489071315, 'num_hl': 2, 'solver': 'sgd'}) - -15.496034995723226
OrderedDict({'activation': 'relu', 'alpha': 0.0001131325330249487, 'batch_size': 128, 'layer1': 1584, 'layer2': 648, 'learning_rate': 'constant', 'learning_rate_init': 0.0006816228064520712, 'num_hl': 2, 'solver': 'lbfgs'}) - -16.638802320223874
OrderedDict({'activation': 'logistic', 'alpha': 0.0002004668634426802, 'batch_size': 512, 'layer1': 1545, 'layer2': 640, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006959420731205004, 'num_hl': 2, 'solver': 'adam'}) - -13.633783766293408
OrderedDict({'activation': 'logistic', 'alpha': 0.0001570783409691671, 'batch_size': 128, 'layer1': 1595, 'layer2': 662, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007335464725164251, 'num_hl': 1, 'solver': 'adam'}) - -13.677876371940897
OrderedDict({'activation': 'logistic', 'alpha': 0.0001212804545145167, 'batch_size': 128, 'layer1': 1555, 'layer2': 625, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006445874126583092, 'num_hl': 2, 'solver': 'sgd'}) - -13.341672371870638
OrderedDict({'activation': 'logistic', 'alpha': 7.637602090397365e-05, 'batch_size': 128, 'layer1': 1505, 'layer2': 649, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006600434105898948, 'num_hl': 2, 'solver': 'sgd'}) - -13.323089914594599
OrderedDict({'activation': 'logistic', 'alpha': 0.00026963753010715043, 'batch_size': 128, 'layer1': 1594, 'layer2': 627, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007612291011213075, 'num_hl': 2, 'solver': 'adam'}) - -14.324130171743201
OrderedDict({'activation': 'logistic', 'alpha': 0.00023464838520468773, 'batch_size': 128, 'layer1': 1614, 'layer2': 640, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006995294608053105, 'num_hl': 1, 'solver': 'adam'}) - -13.676092938520956
OrderedDict({'activation': 'logistic', 'alpha': 0.00016853509985857062, 'batch_size': 128, 'layer1': 1563, 'layer2': 643, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006655344543296574, 'num_hl': 2, 'solver': 'sgd'}) - -13.36701369911545
OrderedDict({'activation': 'logistic', 'alpha': 8.1611045344403e-05, 'batch_size': 128, 'layer1': 1510, 'layer2': 644, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006611369214425321, 'num_hl': 1, 'solver': 'sgd'}) - -13.353716838289348
